"iditem";"nombre";"saldo";"compromiso";"costo";"precio";"impuesto";"activo";"categoria";"estado";"idempresa";"casa"
"2264";"copitosx12 uka";"9980";"59";"14000";"17500";"1";"0";"111";"medicamentos ";"3";"63"
"2265";"pegante super blue x12";"9621";"520";"4000";"7000";"1";"1";"123";"super blue";"3";"75"
"2266";"tokai x 25";"8988";"538";"24500";"29900";"1";"1";"125";"tokai";"3";"77"
"2267";"encendedor bic";"10000";"165";"1100";"1300";"1";"0";"87";"bic";"3";"39"
"2268";"matrix x 12 gratis 1";"7760";"2038";"7000";"7900";"1";"1";"108";"matrix";"3";"60"
"2269";"oro plata x12";"8681";"837";"6300";"9000";"1";"1";"109";"maxbri";"3";"61"
"2270";"sabra verde x36";"9807";"176";"6500";"9300";"1";"1";"109";"maxbri";"3";"61"
"2271";"doble uso x24";"9617";"262";"6670";"9500";"1";"1";"109";"maxbri";"3";"61"
"2272";"esponja alambre x36";"9864";"160";"6000";"8500";"1";"1";"109";"maxbri";"3";"61"
"2273";"esponja maya x 3";"9748";"245";"1050";"1500";"1";"1";"109";"maxbri";"3";"61"
"2274";"inox  plus x12";"9650";"168";"16500";"22000";"1";"1";"109";"maxbri";"3";"61"
"2275";"Esponjillon maxbri x12";"9436";"465";"3000";"4000";"1";"1";"109";"gol";"3";"61"
"2276";"esponjillon maxbri x6";"9703";"150";"1500";"2000";"1";"1";"108";"gol";"3";"61"
"2277";"cera escarlata amarilla CJX48";"9794";"191";"815";"1200";"1";"1";"110";"medellin";"3";"62"
"2278";"cera escarlata blanca CJX48";"9386";"475";"815";"1200";"1";"1";"110";"medellin";"3";"62"
"2279";"cera escarlata roja CJX48";"9251";"852";"815";"1200";"1";"1";"110";"medellin";"3";"62"
"2280";"vela x12 acanalada CJX22";"7716";"1935";"3800";"4800";"1";"1";"120";"san jorge";"3";"72"
"2281";"varsol 1/2 reisol CJX24";"7118";"1704";"2400";"3300";"1";"1";"118";"reisol";"3";"70"
"2282";"varsol botella  reisol CJX12";"9699";"88";"3330";"6600";"1";"1";"118";"reisol";"3";"70"
"2283";"bombillos x 10 gratis fósforox20";"9912";"152";"8500";"20000";"1";"1";"101";"incandecent";"3";"53"
"2284";"bombillo incandecent unidad";"9965";"17";"625";"2000";"1";"0";"101";"incandecent";"3";"53"
"2285";"bombillo led 9voltios";"9808";"272";"1800";"2800";"1";"1";"105";"led";"3";"57"
"2286";"bombillos led 12voltios";"9905";"54";"2800";"3800";"1";"1";"105";"led";"3";"57"
"2287";"bombillo led 9w  10 x 12";"9744";"132";"18000";"28000";"1";"1";"105";"led";"3";"57"
"2288";"bombillo led 12voltios 12x13";"10000";"11";"38400";"50400";"1";"0";"105";"led";"3";"57"
"2289";"fosforos refuego x 20";"8647";"1408";"3700";"4500";"1";"1";"117";"refuego";"3";"69"
"2290";"sh hys rosado x12";"9567";"427";"8500";"11500";"1";"1";"115";"pyh";"3";"67"
"2291";"sh hys azul x12";"9213";"690";"8500";"11500";"1";"1";"115";"pyh";"3";"67"
"2292";"sh hys coco x12";"10000";"100";"6800";"8500";"1";"0";"115";"pyh";"3";"67"
"2293";"sh Pantene restauración x12";"9470";"492";"8500";"11500";"1";"1";"115";"pyh";"3";"67"
"2294";"ac pantene x12";"9776";"257";"8500";"10000";"1";"0";"115";"pyh";"3";"67"
"2295";"cp pantene x12";"10000";"3";"6800";"8500";"1";"0";"115";"pyh";"3";"67"
"2296";"sh dove x 12";"9269";"795";"6800";"10100";"1";"0";"126";"unilever";"3";"78"
"2297";"sh dove anticaspa x 12";"9952";"290";"6800";"10100";"1";"0";"126";"unilever";"3";"78"
"2298";"ac dove  x 12";"9608";"389";"6800";"10100";"1";"0";"126";"unilever";"3";"78"
"2299";"sedal sh keratina x20";"20000";"55";"9500";"11900";"1";"0";"126";"unilever";"3";"78"
"2300";"sedal sh ceramidas  x20";"110000";"3";"9000";"11900";"1";"0";"126";"unilever";"3";"78"
"2301";"sedal sh 2 en 1 x12";"9834";"165";"6800";"10100";"1";"0";"126";"unilever";"3";"78"
"2302";"sedal cp keratina x20";"10000";"1";"9000";"11900";"1";"0";"126";"unilever";"3";"78"
"2303";"sedal ac keratina x20";"10000";"19";"9500";"11900";"1";"0";"126";"unilever";"3";"78"
"2304";"sedal ac ceramidas  x20";"10000";"1";"9500";"11900";"1";"0";"126";"unilever";"3";"78"
