"id";"iddetalles";"accesorio";"cantidad";"ubicacion";"fecha_reg";"estado";"imagen"
"141";"2080";"CLIP ALUMINIO";"2";"017A11";"2024-07-17 07:53:32";"1";"0"
"142";"1968";"TAPA PLASTICA CON HUECO";"2";"017A10";"2024-07-17 07:54:33";"1";"0"
"143";"1968";"CLIP ALUMINIO";"2";"017A10";"2024-07-17 07:54:48";"1";"0"
"144";"2078";"TAPA PLASTICA CON HUECO";"2";"81H";"2024-07-17 07:59:28";"1";"0"
"145";"2078";"CLIP ALUMINIO";"2";"81H";"2024-07-17 08:00:16";"1";"0"
"146";"2053";"TAPA PLASTICA CON HUECO";"2";"017A08";"2024-07-17 08:01:11";"1";"0"
"147";"2053";"CLIP ALUMINIO";"2";"017A08";"2024-07-17 08:01:21";"1";"0"
"148";"23958";"TAPA PLASTICA CON HUECO";"2";"017A08";"2024-07-17 08:02:53";"1";"0"
"149";"23958";"CLIP ALUMINIO";"2";"017A08";"2024-07-17 08:03:09";"1";"0"
"150";"4813";"TAPA PLASTICA CON HUECO";"2";"017A06";"2024-07-17 08:03:51";"1";"0"
"151";"4813";"CLIP ALUMINIO";"2";"017A06";"2024-07-17 08:05:33";"1";"0"
"152";"2065";"TAPA PLASTICA CON HUECO";"2";"017A03";"2024-07-17 08:06:41";"1";"0"
"153";"2065";"CLIP ALUMINIO";"2";"017A03";"2024-07-17 08:07:01";"1";"0"
"154";"24207";"TAPA PLASTICA CON HUECO";"1";"017A03";"2024-07-17 08:07:57";"1";"0"
"155";"24207";"TAPA PLASTICA CIEGA";"1";"017A03";"2024-07-17 08:08:14";"1";"0"
"156";"24207";"CLIP ALUMINIO";"2";"017A03";"2024-07-17 08:08:28";"1";"0"
"157";"24066";"TAPA PLASTICA CON HUECO";"2";"017A02";"2024-07-17 08:09:08";"1";"0"
"158";"24066";"CLIP ALUMINIO";"2";"017A02";"2024-07-17 08:09:26";"1";"0"
"159";"9682";"TAPA PLASTICA CIEGA";"1";"017A12";"2024-07-17 08:10:57";"1";"0"
"160";"24263";"TAPA PLASTICA CIEGA";"1";"017A12";"2024-07-17 08:12:05";"1";"0"
"161";"22772";"TAPA PLASTICA CON HUECO";"1";"017A11";"2024-07-17 08:12:49";"1";"0"
"162";"22772";"TAPA PLASTICA CIEGA";"1";"017A11";"2024-07-17 08:13:52";"1";"0"
"163";"22772";"CLIP ALUMINIO";"2";"017A11";"2024-07-17 08:14:01";"1";"0"
"164";"1969";"TAPA PLASTICA CON HUECO";"2";"81K";"2024-07-17 08:15:06";"1";"0"
"165";"1969";"CLIP ALUMINIO";"2";"81K";"2024-07-17 08:15:21";"1";"0"
"166";"2047";"TAPA PLASTICA CON HUECO";"2";"017A09";"2024-07-17 08:19:39";"1";"0"
"167";"2079";"TAPA PLASTICA CON HUECO";"2";"81H";"2024-07-17 08:31:01";"1";"0"
"168";"2079";"CLIP ALUMINIO";"2";"81H";"2024-07-17 08:31:14";"1";"0"
"169";"2014";"TAPA PLASTICA CON HUECO";"2";"017A08";"2024-07-17 08:32:06";"1";"0"
"170";"2014";"CLIP ALUMINIO";"2";"017A08";"2024-07-17 08:32:18";"1";"0"
"171";"2060";"TAPA PLASTICA CON HUECO";"2";"017A08";"2024-07-17 08:33:10";"1";"0"
"172";"2060";"CLIP ALUMINIO";"2";"017A08";"2024-07-17 08:33:24";"1";"0"
"173";"4814";"TAPA PLASTICA CON HUECO";"2";"81F";"2024-07-17 08:34:56";"1";"0"
"174";"4814";"CLIP ALUMINIO";"2";"81F";"2024-07-17 08:35:12";"1";"0"
"175";"2021";"TAPA PLASTICA CON HUECO";"2";"017A03";"2024-07-17 08:35:53";"1";"0"
"176";"2021";"CLIP ALUMINIO";"2";"017A03";"2024-07-17 08:36:05";"1";"0"
"177";"2036";"TAPA PLASTICA CON HUECO";"1";"017A01";"2024-07-17 08:39:41";"1";"0"
"178";"2036";"TAPA PLASTICA CIEGA";"1";"017A01";"2024-07-17 08:39:52";"1";"0"
"179";"2036";"CLIP ALUMINIO";"2";"017A01";"2024-07-17 08:40:03";"1";"0"
"180";"24206";"TAPA PLASTICA CON HUECO";"1";"017A02";"2024-07-17 08:40:47";"1";"0"
"181";"24206";"TAPA PLASTICA CIEGA";"1";"017A02";"2024-07-17 08:41:00";"1";"0"
"182";"24206";"CLIP ALUMINIO";"2";"017A02";"2024-07-17 08:41:13";"1";"0"
"183";"22775";"TAPA PLASTICA CON HUECO";"2";"017A06";"2024-07-17 08:42:04";"1";"0"
"184";"22775";"CLIP ALUMINIO";"2";"017A06";"2024-07-17 08:42:19";"1";"0"
"185";"1970";"TAPA PLASTICA CON HUECO";"1";"017A04";"2024-07-17 08:43:05";"1";"0"
"186";"1970";"TAPA PLASTICA CIEGA";"1";"017A04";"2024-07-17 08:43:14";"1";"0"
"187";"1970";"CLIP ALUMINIO";"2";"017A04";"2024-07-17 08:43:22";"1";"0"
"188";"18904";"TAPA PLASTICA CON HUECO";"1";"017A03";"2024-07-17 08:44:18";"1";"0"
"189";"18904";"TAPA PLASTICA CIEGA";"1";"017A03";"2024-07-17 08:44:29";"1";"0"
"190";"18904";"CLIP ALUMINIO";"2";"017A03";"2024-07-17 08:44:43";"1";"0"
"191";"24036";"TAPA PLASTICA CON HUECO";"2";"017A10";"2024-07-17 08:47:20";"1";"0"
"192";"24036";"CLIP ALUMINIO";"2";"017A10";"2024-07-17 08:47:35";"1";"0"
"193";"24035";"TAPA PLASTICA CON HUECO";"2";"017A11";"2024-07-17 08:48:36";"1";"0"
"194";"24035";"CLIP ALUMINIO";"2";"017A11";"2024-07-17 08:48:48";"1";"0"
"195";"18906";"TAPA PLASTICA CON HUECO";"1";"81D";"2024-07-17 08:49:40";"1";"0"
"196";"18906";"TAPA PLASTICA CIEGA";"1";"81D";"2024-07-17 08:49:48";"1";"0"
"197";"18906";"CLIP ALUMINIO";"2";"81D";"2024-07-17 08:49:55";"1";"0"
"198";"18902";"TAPA PLASTICA CON HUECO";"1";"81D";"2024-07-17 08:50:46";"1";"0"
"199";"18902";"TAPA PLASTICA CIEGA";"1";"81D";"2024-07-17 08:50:54";"1";"0"
"200";"18902";"CLIP ALUMINIO";"2";"81D";"2024-07-17 08:51:02";"1";"0"
"201";"18907";"TAPA PLASTICA CON HUECO";"1";"017A04";"2024-07-17 09:20:00";"1";"0"
"202";"18907";"TAPA PLASTICA CIEGA";"1";"017A04";"2024-07-17 09:20:12";"1";"0"
"203";"18907";"CLIP ALUMINIO";"2";"017A04";"2024-07-17 09:20:23";"1";"0"
"204";"18903";"TAPA PLASTICA CON HUECO";"1";"017A04";"2024-07-17 09:21:08";"1";"0"
"205";"18903";"TAPA PLASTICA CIEGA";"1";"017A04";"2024-07-17 09:21:21";"1";"0"
"206";"18903";"CLIP ALUMINIO";"2";"017A04";"2024-07-17 09:21:32";"1";"0"
